"timestamp","sensor","pm10"
"2021-03-14T22:57:01.000Z",,"{""value"":1120.12,""max"":1122.76,""min"":1115.87,""sd"":2.16}"
"2021-03-14T22:56:01.000Z",,"{""value"":1124.53,""max"":1126.2,""min"":1122.76,""sd"":1.08}"
"2021-03-14T22:55:01.000Z",,"{""value"":1127.8,""max"":1130.79,""min"":1125.05,""sd"":1.67}"
"2021-03-14T22:54:01.000Z",,"{""value"":1130.73,""max"":1133.08,""min"":1129.64,""sd"":1.19}"
"2021-03-14T22:53:01.000Z",,"{""value"":1133.08,""max"":1133.08,""min"":1133.08,""sd"":0}"
"2021-03-14T22:52:01.000Z",,"{""value"":1133.66,""max"":1134.23,""min"":1133.08,""sd"":0.57}"
"2021-03-14T22:51:01.000Z",,"{""value"":1140.77,""max"":1146.85,""min"":1134.23,""sd"":4.47}"
"2021-03-14T22:50:01.000Z",,"{""value"":1155.92,""max"":1166.36,""min"":1148,""sd"":5.96}"
"2021-03-14T22:49:01.000Z",,"{""value"":1167.91,""max"":1168.65,""min"":1166.36,""sd"":0.78}"
"2021-03-14T22:48:01.000Z",,"{""value"":1176.05,""max"":1180.13,""min"":1169.8,""sd"":3.13}"
"2021-03-14T22:47:01.000Z",,"{""value"":1194.64,""max"":1201.93,""min"":1178.98,""sd"":8.07}"
"2021-03-14T22:46:01.000Z",,"{""value"":1204.85,""max"":1206.52,""min"":1203.07,""sd"":1.39}"
"2021-03-14T22:45:01.000Z",,"{""value"":1210.13,""max"":1214.55,""min"":1205.37,""sd"":3.25}"
"2021-03-14T22:44:01.000Z",,"{""value"":1220.69,""max"":1229.46,""min"":1214.55,""sd"":4.9}"
"2021-03-14T22:43:01.000Z",,"{""value"":1239.56,""max"":1246.67,""min"":1230.61,""sd"":5.48}"
"2021-03-14T22:42:01.000Z",,"{""value"":1250.81,""max"":1257,""min"":1246.67,""sd"":2.91}"
"2021-03-14T22:41:01.000Z",,"{""value"":1267.61,""max"":1278.8,""min"":1258.15,""sd"":6.32}"
"2021-03-14T22:40:01.000Z",,"{""value"":1284.83,""max"":1286.83,""min"":1278.8,""sd"":2.2}"
"2021-03-14T22:39:01.000Z",,"{""value"":1280.69,""max"":1286.83,""min"":1270.77,""sd"":4.88}"
"2021-03-14T22:38:01.000Z",,"{""value"":1260.56,""max"":1270.77,""min"":1251.26,""sd"":6.17}"
"2021-03-14T22:37:01.000Z",,"{""value"":1244.9,""max"":1250.12,""min"":1240.94,""sd"":2.82}"
"2021-03-14T22:36:01.000Z",,"{""value"":1244.55,""max"":1251.26,""min"":1240.94,""sd"":3.4}"
"2021-03-14T22:35:01.000Z",,"{""value"":1262.91,""max"":1275.36,""min"":1252.41,""sd"":7.54}"
"2021-03-14T22:34:01.000Z",,"{""value"":1288.1,""max"":1297.16,""min"":1277.65,""sd"":5.61}"
"2021-03-14T22:33:01.000Z",,"{""value"":1303.47,""max"":1305.19,""min"":1299.45,""sd"":1.92}"
"2021-03-14T22:32:01.000Z",,"{""value"":1303.07,""max"":1306.34,""min"":1296.01,""sd"":3.03}"
"2021-03-14T22:31:01.000Z",,"{""value"":1285.69,""max"":1296.01,""min"":1278.8,""sd"":5.96}"
"2021-03-14T22:30:01.000Z",,"{""value"":1278.8,""max"":1278.8,""min"":1278.8,""sd"":0}"
"2021-03-14T22:29:01.000Z",,"{""value"":1279.15,""max"":1279.95,""min"":1278.8,""sd"":0.69}"
"2021-03-14T22:28:01.000Z",,"{""value"":1280.29,""max"":1282.24,""min"":1279.95,""sd"":0.79}"
"2021-03-14T22:27:01.000Z",,"{""value"":1287.75,""max"":1296.01,""min"":1282.24,""sd"":4.22}"
"2021-03-14T22:26:01.000Z",,"{""value"":1301.41,""max"":1304.04,""min"":1296.01,""sd"":2.35}"
"2021-03-14T22:25:01.000Z",,"{""value"":1312.99,""max"":1324.7,""min"":1304.04,""sd"":6.61}"
"2021-03-14T22:24:01.000Z",,"{""value"":1341.39,""max"":1354.53,""min"":1326.99,""sd"":8.38}"
"2021-03-14T22:23:01.000Z",,"{""value"":1359.35,""max"":1366,""min"":1354.53,""sd"":3.59}"
"2021-03-14T22:22:01.000Z",,"{""value"":1378.34,""max"":1383.22,""min"":1367.15,""sd"":4.67}"
"2021-03-14T22:21:01.000Z",,"{""value"":1387.69,""max"":1392.39,""min"":1383.22,""sd"":2.91}"
"2021-03-14T22:20:01.000Z",,"{""value"":1402.2,""max"":1408.46,""min"":1394.69,""sd"":4.55}"
"2021-03-14T22:19:01.000Z",,"{""value"":1410.23,""max"":1414.19,""min"":0,""sd"":2.01}"
"2021-03-14T22:14:32.000Z",,"{""value"":1507.25,""max"":1512.87,""min"":1499.1,""sd"":3.48}"
"2021-03-14T22:11:32.000Z",,"{""value"":1593.82,""max"":1604.66,""min"":1581.72,""sd"":6.9}"
"2021-03-14T22:10:32.000Z",,"{""value"":1607.59,""max"":1609.25,""min"":1604.66,""sd"":1.14}"
"2021-03-14T22:09:32.000Z",,"{""value"":1610.69,""max"":1616.14,""min"":1608.11,""sd"":2.36}"
"2021-03-14T22:08:32.000Z",,"{""value"":1629.33,""max"":1639.09,""min"":1617.28,""sd"":7.21}"
"2021-03-14T22:07:32.000Z",,"{""value"":1635.18,""max"":1640.23,""min"":1625.32,""sd"":5.34}"
"2021-03-14T22:06:32.000Z",,"{""value"":1619.58,""max"":1623.02,""min"":1617.28,""sd"":1.61}"
"2021-03-14T22:05:32.000Z",,"{""value"":1623.14,""max"":1632.2,""min"":1617.28,""sd"":4.71}"
"2021-03-14T22:04:32.000Z",,"{""value"":1640.12,""max"":1647.12,""min"":1632.2,""sd"":4.88}"
"2021-03-14T22:03:32.000Z",,"{""value"":1660.25,""max"":1675.8,""min"":1645.97,""sd"":8.09}"
"2021-03-14T22:02:32.000Z",,"{""value"":1684.46,""max"":1694.16,""min"":1675.8,""sd"":5.59}"
"2021-03-14T22:01:32.000Z",,"{""value"":1704.43,""max"":1711.37,""min"":1694.16,""sd"":5.45}"
"2021-03-14T22:00:32.000Z",,"{""value"":1718.89,""max"":1726.29,""min"":1711.37,""sd"":4.76}"
"2021-03-14T21:59:32.000Z",,"{""value"":1736.38,""max"":1749.24,""min"":1727.44,""sd"":7.44}"
"2021-03-14T21:58:32.000Z",,"{""value"":1762.37,""max"":1773.33,""min"":1750.38,""sd"":6.88}"
"2021-03-14T21:57:32.000Z",,"{""value"":1786.18,""max"":1796.28,""min"":1775.63,""sd"":6.6}"
"2021-03-14T21:56:32.000Z",,"{""value"":1810.45,""max"":1820.37,""min"":1797.43,""sd"":6.51}"
"2021-03-14T21:55:32.000Z",,"{""value"":1830.99,""max"":1839.88,""min"":1820.37,""sd"":5.97}"
"2021-03-14T21:54:32.000Z",,"{""value"":1847.45,""max"":1850.21,""min"":1841.03,""sd"":3.19}"
"2021-03-14T21:53:32.000Z",,"{""value"":1855.26,""max"":1859.39,""min"":1852.5,""sd"":1.79}"
"2021-03-14T21:52:32.000Z",,"{""value"":1871.32,""max"":1884.63,""min"":1860.53,""sd"":7.26}"
"2021-03-14T21:51:32.000Z",,"{""value"":1895.7,""max"":1906.43,""min"":1886.92,""sd"":5.24}"
"2021-03-14T21:50:32.000Z",,"{""value"":1916.58,""max"":1925.94,""min"":1906.43,""sd"":5.86}"
"2021-03-14T21:49:32.000Z",,"{""value"":1933.85,""max"":1937.41,""min"":1925.94,""sd"":3.05}"
"2021-03-14T21:48:32.000Z",,"{""value"":1934.48,""max"":1937.41,""min"":1928.23,""sd"":2.87}"
"2021-03-14T21:47:32.000Z",,"{""value"":1920.37,""max"":1927.08,""min"":1917.9,""sd"":2.43}"
"2021-03-14T21:46:32.000Z",,"{""value"":1915.26,""max"":1917.9,""min"":1913.31,""sd"":1.49}"
"2021-03-14T21:45:32.000Z",,"{""value"":1900.64,""max"":1912.17,""min"":1893.81,""sd"":6.6}"
"2021-03-14T21:44:32.000Z",,"{""value"":1891.05,""max"":1893.81,""min"":1886.92,""sd"":2.64}"
"2021-03-14T21:43:32.000Z",,"{""value"":1881.59,""max"":1884.63,""min"":1878.89,""sd"":2.03}"
"2021-03-14T21:42:32.000Z",,"{""value"":1873.33,""max"":1877.74,""min"":1866.27,""sd"":3.38}"
"2021-03-14T21:41:32.000Z",,"{""value"":1862.77,""max"":1866.27,""min"":1858.24,""sd"":2.46}"
"2021-03-14T21:40:32.000Z",,"{""value"":1852.33,""max"":1858.24,""min"":1845.62,""sd"":3.99}"
"2021-03-14T21:39:32.000Z",,"{""value"":1839.42,""max"":1844.47,""min"":1833,""sd"":3.69}"
"2021-03-14T21:38:32.000Z",,"{""value"":1830.3,""max"":1833,""min"":1828.41,""sd"":1.33}"
"2021-03-14T21:37:32.000Z",,"{""value"":1827.09,""max"":1828.41,""min"":1824.96,""sd"":1.15}"
"2021-03-14T21:36:32.000Z",,"{""value"":1823.24,""max"":1826.11,""min"":1819.23,""sd"":1.9}"
"2021-03-14T21:35:32.000Z",,"{""value"":1814.98,""max"":1819.23,""min"":1811.2,""sd"":2.25}"
"2021-03-14T21:34:32.000Z",,"{""value"":1805.11,""max"":1811.2,""min"":1802.02,""sd"":3.14}"
"2021-03-14T21:33:32.000Z",,"{""value"":1796.85,""max"":1802.02,""min"":1791.69,""sd"":3.88}"
"2021-03-14T21:32:32.000Z",,"{""value"":1786.47,""max"":1790.54,""min"":1783.66,""sd"":2.22}"
"2021-03-14T21:31:32.000Z",,"{""value"":1784.17,""max"":1784.81,""min"":1782.51,""sd"":0.78}"
"2021-03-14T21:30:32.000Z",,"{""value"":1784.63,""max"":1784.81,""min"":1783.66,""sd"":0.56}"
"2021-03-14T21:29:32.000Z",,"{""value"":1785.15,""max"":1788.25,""min"":1782.51,""sd"":1.91}"
"2021-03-14T21:28:32.000Z",,"{""value"":1788.71,""max"":1790.54,""min"":1787.1,""sd"":0.9}"
"2021-03-14T21:27:32.000Z",,"{""value"":1787.44,""max"":1790.54,""min"":1784.81,""sd"":2.05}"
"2021-03-14T21:26:32.000Z",,"{""value"":1784.23,""max"":1784.81,""min"":1783.66,""sd"":0.65}"
"2021-03-14T21:25:32.000Z",,"{""value"":1783.37,""max"":1784.81,""min"":1780.22,""sd"":1.75}"
"2021-03-14T21:24:32.000Z",,"{""value"":1772.76,""max"":1782.51,""min"":1766.45,""sd"":6.14}"
"2021-03-14T21:23:32.000Z",,"{""value"":1764.78,""max"":1766.45,""min"":1763,""sd"":0.88}"
"2021-03-14T21:22:32.000Z",,"{""value"":1765.22,""max"":1766.45,""min"":0,""sd"":0.93}"
"2021-03-14T21:20:49.000Z",,"{""value"":1724.57,""max"":1733.17,""min"":1715.96,""sd"":5.16}"
"2021-03-14T21:19:49.000Z",,"{""value"":1711.49,""max"":1713.67,""min"":1710.22,""sd"":0.71}"
"2021-03-14T21:18:49.000Z",,"{""value"":1705.18,""max"":1709.08,""min"":1702.19,""sd"":2.33}"
"2021-03-14T21:17:49.000Z",,"{""value"":1704.14,""max"":1705.63,""min"":1703.34,""sd"":0.71}"
"2021-03-14T21:16:49.000Z",,"{""value"":1702.36,""max"":1703.34,""min"":0,""sd"":0.73}"
"2021-03-14T21:14:05.000Z",,"{""value"":1657.9,""max"":1660.89,""min"":1656.3,""sd"":1.49}"
"2021-03-14T21:13:05.000Z",,"{""value"":1655.26,""max"":1657.44,""min"":0,""sd"":1.08}"
"2021-03-14T21:10:29.000Z",,"{""value"":1615.05,""max"":1623.02,""min"":1603.52,""sd"":7.82}"
"2021-03-14T21:09:29.000Z",,"{""value"":1599.27,""max"":1602.37,""min"":1593.19,""sd"":2.45}"
"2021-03-14T21:08:29.000Z",,"{""value"":1582.58,""max"":1589.75,""min"":1579.42,""sd"":2.82}"
"2021-03-14T21:07:29.000Z",,"{""value"":1574.37,""max"":1579.42,""min"":1570.24,""sd"":2.79}"
"2021-03-14T21:06:29.000Z",,"{""value"":1569.61,""max"":1570.24,""min"":0,""sd"":0.76}"
"2021-03-14T21:02:59.000Z",,"{""value"":1502.72,""max"":1505.99,""min"":1497.96,""sd"":2.84}"
"2021-03-14T21:01:59.000Z",,"{""value"":1494.8,""max"":1496.81,""min"":1493.37,""sd"":0.98}"
"2021-03-14T21:00:59.000Z",,"{""value"":1491.87,""max"":1494.51,""min"":1485.33,""sd"":3}"
"2021-03-14T20:59:59.000Z",,"{""value"":1477.53,""max"":1483.04,""min"":1475.01,""sd"":2.35}"
"2021-03-14T20:58:59.000Z",,"{""value"":1471.05,""max"":1475.01,""min"":0,""sd"":2.91}"
"2021-03-14T20:56:09.000Z",,"{""value"":1438.52,""max"":1439.44,""min"":1437.14,""sd"":0.87}"
"2021-03-14T20:55:09.000Z",,"{""value"":1427.85,""max"":1438.29,""min"":1418.78,""sd"":6.22}"
"2021-03-14T20:54:09.000Z",,"{""value"":1412.01,""max"":1417.64,""min"":1409.61,""sd"":2.61}"
"2021-03-14T20:53:09.000Z",,"{""value"":1404.16,""max"":1409.61,""min"":1395.84,""sd"":4.1}"
"2021-03-14T20:52:09.000Z",,"{""value"":1391.07,""max"":1395.84,""min"":1384.36,""sd"":3.64}"
"2021-03-14T20:51:09.000Z",,"{""value"":1376.79,""max"":1383.22,""min"":1372.89,""sd"":3.79}"
"2021-03-14T20:50:09.000Z",,"{""value"":1369.96,""max"":1372.89,""min"":1368.3,""sd"":1.76}"
"2021-03-14T20:49:09.000Z",,"{""value"":1368.18,""max"":1368.3,""min"":1367.15,""sd"":0.46}"
"2021-03-14T20:48:09.000Z",,"{""value"":1360.27,""max"":1368.3,""min"":1354.53,""sd"":4.32}"
"2021-03-14T20:47:09.000Z",,"{""value"":1354.07,""max"":1354.53,""min"":1353.38,""sd"":0.56}"
"2021-03-14T20:46:09.000Z",,"{""value"":1360.04,""max"":1367.15,""min"":1354.53,""sd"":4.24}"
"2021-03-14T20:45:09.000Z",,"{""value"":1388.55,""max"":1401.57,""min"":1370.59,""sd"":9.77}"
"2021-03-14T20:44:09.000Z",,"{""value"":1400.77,""max"":1402.72,""min"":1394.69,""sd"":2.51}"
"2021-03-14T20:43:09.000Z",,"{""value"":1386.31,""max"":1391.25,""min"":1378.63,""sd"":3.08}"
"2021-03-14T20:42:09.000Z",,"{""value"":1369.39,""max"":1377.48,""min"":1360.27,""sd"":4.42}"
"2021-03-14T20:41:09.000Z",,"{""value"":1350.28,""max"":1357.97,""min"":1347.65,""sd"":2.55}"
"2021-03-14T20:40:09.000Z",,"{""value"":1338.64,""max"":1345.35,""min"":1331.58,""sd"":4.52}"
"2021-03-14T20:39:09.000Z",,"{""value"":1331.07,""max"":1331.58,""min"":1328.14,""sd"":0.89}"
"2021-03-14T20:38:09.000Z",,"{""value"":1322.57,""max"":1326.99,""min"":1316.67,""sd"":2.61}"
"2021-03-14T20:37:09.000Z",,"{""value"":1316.03,""max"":1317.81,""min"":1313.22,""sd"":1.31}"
"2021-03-14T20:36:09.000Z",,"{""value"":1310.41,""max"":1313.22,""min"":1305.19,""sd"":2.92}"
"2021-03-14T20:35:09.000Z",,"{""value"":1288.38,""max"":1305.19,""min"":1277.65,""sd"":9.37}"
"2021-03-14T20:34:09.000Z",,"{""value"":1266.18,""max"":1275.36,""min"":1259.3,""sd"":5.81}"
"2021-03-14T20:33:09.000Z",,"{""value"":1258.44,""max"":1259.3,""min"":1255.85,""sd"":1.1}"
"2021-03-14T20:32:09.000Z",,"{""value"":1247.54,""max"":1255.85,""min"":1234.05,""sd"":7.74}"
"2021-03-14T20:31:09.000Z",,"{""value"":1229.64,""max"":1231.76,""min"":1228.32,""sd"":1.22}"
"2021-03-14T20:30:09.000Z",,"{""value"":1225.85,""max"":1238.64,""min"":1217.99,""sd"":6.41}"
"2021-03-14T20:29:09.000Z",,"{""value"":1252.99,""max"":1259.3,""min"":1240.94,""sd"":4.87}"
"2021-03-14T20:28:09.000Z",,"{""value"":1254.13,""max"":1255.85,""min"":1247.82,""sd"":2.22}"
"2021-03-14T20:27:09.000Z",,"{""value"":1228.83,""max"":1246.67,""min"":1213.4,""sd"":12.97}"
"2021-03-14T20:26:09.000Z",,"{""value"":1194.07,""max"":1212.25,""min"":1183.57,""sd"":10.28}"
"2021-03-14T20:25:09.000Z",,"{""value"":1190.91,""max"":1192.75,""min"":1184.71,""sd"":2.09}"
"2021-03-14T20:24:09.000Z",,"{""value"":1188.96,""max"":1191.6,""min"":1185.86,""sd"":1.86}"
"2021-03-14T20:23:09.000Z",,"{""value"":1167.45,""max"":1189.3,""min"":1144.56,""sd"":13.16}"
"2021-03-14T20:22:09.000Z",,"{""value"":1130.84,""max"":1142.26,""min"":1113.58,""sd"":7.61}"
"2021-03-14T20:21:09.000Z",,"{""value"":1083.51,""max"":1110.13,""min"":1067.68,""sd"":13.31}"
"2021-03-14T20:20:09.000Z",,"{""value"":1059.99,""max"":1066.53,""min"":1057.35,""sd"":2.38}"
"2021-03-14T20:19:09.000Z",,"{""value"":1057.64,""max"":1058.5,""min"":1056.21,""sd"":0.91}"
"2021-03-14T20:18:09.000Z",,"{""value"":1042.15,""max"":1055.06,""min"":1032.11,""sd"":8.26}"
"2021-03-14T20:17:09.000Z",,"{""value"":1029.13,""max"":1032.11,""min"":1027.52,""sd"":1.35}"
"2021-03-14T20:16:09.000Z",,"{""value"":1022.66,""max"":1028.67,""min"":1017.19,""sd"":3.78}"
"2021-03-14T20:15:09.000Z",,"{""value"":1011,""max"":1017.19,""min"":1009.16,""sd"":2.72}"
"2021-03-14T20:14:09.000Z",,"{""value"":1005.84,""max"":1010.31,""min"":986.21,""sd"":7.18}"
"2021-03-14T20:13:09.000Z",,"{""value"":978.13,""max"":986.21,""min"":974.74,""sd"":3.11}"
"2021-03-14T20:12:09.000Z",,"{""value"":966.54,""max"":974.74,""min"":957.53,""sd"":4.87}"
"2021-03-14T20:11:09.000Z",,"{""value"":950.36,""max"":957.53,""min"":946.06,""sd"":2.89}"
